iter	RMSE
0	27.2151285
1	27.07573984
2	26.960954
3	26.80894984
4	26.68832453
5	26.55513237
6	26.42619904
7	26.30088035
8	26.18782786
9	26.07362398
10	25.9661778
11	25.88387124
12	25.79502561
13	25.67931646
14	25.60824817
15	25.54481482
16	25.45970497
17	25.37272394
18	25.30409636
19	25.24975732
20	25.16799634
21	25.12037636
22	25.05825992
23	24.98332655
24	24.92662951
25	24.8764619
26	24.80003307
27	24.74759965
28	24.68765868
29	24.63448974
30	24.58730031
31	24.53339755
32	24.480473
33	24.43142422
34	24.3945541
35	24.35708963
36	24.30616192
37	24.25904631
38	24.22070994
39	24.18517413
40	24.14563613
41	24.10588893
42	24.04163904
43	23.98067934
44	23.93093456
45	23.89621535
46	23.8594894
47	23.83000627
48	23.79138684
49	23.74380483
50	23.70445556
51	23.67390041
52	23.64588811
53	23.62221404
54	23.57708921
55	23.55227319
56	23.53264313
57	23.49854926
58	23.47781387
59	23.45188391
60	23.41654464
61	23.38107922
62	23.35646806
63	23.33248138
64	23.31274816
65	23.29170461
66	23.26439785
67	23.2389834
68	23.21563818
69	23.1892473
70	23.1510915
71	23.1343306
72	23.11805732
73	23.08782091
74	23.06324984
75	23.0358926
76	23.01701647
77	22.99604882
78	22.96740176
79	22.93503307
80	22.91656721
81	22.89022502
82	22.85404559
83	22.83819003
84	22.80586933
85	22.7865675
86	22.77063887
87	22.75729686
88	22.73354743
89	22.7110117
90	22.69557461
91	22.67137116
92	22.66046742
93	22.64684574
94	22.62317194
95	22.60712045
96	22.59329381
97	22.57267901
98	22.54990732
99	22.53557256
100	22.50891338
101	22.47524351
102	22.45194429
103	22.42929573
104	22.41314843
105	22.40435983
106	22.38372872
107	22.3631166
108	22.34800832
109	22.31250443
110	22.2899648
111	22.27539219
112	22.25349129
113	22.23853537
114	22.21996528
115	22.19943574
116	22.17331479
117	22.15727907
118	22.13201279
119	22.10830103
120	22.09471855
121	22.08020443
122	22.07840857
123	22.04880255
124	22.0336677
125	22.01286522
126	22.00190516
127	21.97507922
128	21.94792752
129	21.92928812
130	21.91633345
131	21.89504009
132	21.87262589
133	21.8547489
134	21.84443666
135	21.83039933
136	21.81982049
137	21.80967281
138	21.78617949
139	21.76298744
140	21.73749278
141	21.70871462
142	21.68512085
143	21.6718794
144	21.6506309
145	21.62519285
146	21.60953402
147	21.58907645
148	21.57510644
149	21.56296893
150	21.54969298
151	21.52832018
152	21.51639392
153	21.49381682
154	21.47423161
155	21.46327746
156	21.44761548
157	21.43102212
158	21.41423101
159	21.40191336
160	21.38721603
161	21.366376
162	21.35757932
163	21.34017641
164	21.3162098
165	21.29406926
166	21.28205361
167	21.26337521
168	21.24424291
169	21.22288919
170	21.20073226
171	21.18073617
172	21.16501243
173	21.14253185
174	21.12558028
175	21.11284402
176	21.09003703
177	21.07165041
178	21.05788223
179	21.0292692
180	21.01545034
181	20.99628212
182	20.98233014
183	20.96293642
184	20.94309164
185	20.92736939
186	20.90649771
187	20.88368657
188	20.86414611
189	20.84202696
190	20.81519461
191	20.80033901
192	20.78518818
193	20.77063608
194	20.7466783
195	20.72704581
196	20.69847502
197	20.68337706
198	20.66489746
199	20.63663319
200	20.62477149
201	20.59597913
202	20.58164412
203	20.56483643
204	20.54379853
205	20.52066288
206	20.50368811
207	20.48157256
208	20.46780062
209	20.4449341
210	20.41697896
211	20.3985088
212	20.38716851
213	20.36949389
214	20.35562985
215	20.33967404
216	20.32539165
217	20.31046202
218	20.28221733
219	20.26039333
220	20.24138212
221	20.22102914
222	20.20422866
223	20.18362897
224	20.17042251
225	20.14546068
226	20.13041038
227	20.11667386
228	20.10591404
229	20.08404529
230	20.06501304
231	20.05163749
232	20.02601205
233	20.00094441
234	19.98045158
235	19.95958718
236	19.94334722
237	19.93173506
238	19.91488335
239	19.89958203
240	19.88899231
241	19.88005624
242	19.86392311
243	19.84928763
244	19.83495303
245	19.81765334
246	19.79913265
247	19.78532496
248	19.76808937
249	19.75706609
250	19.74265892
