iter	RMSE
0	27.15441869
1	26.98673516
2	26.81810005
3	26.64184898
4	26.47443191
5	26.32513369
6	26.17308574
7	26.04344868
8	25.92409616
9	25.81307109
10	25.67309397
11	25.528358
12	25.40998984
13	25.29408751
14	25.18472645
15	25.08215103
16	25.01466977
17	24.93180805
18	24.86421812
19	24.78227419
20	24.69747373
21	24.61732667
22	24.5410025
23	24.45060499
24	24.36402868
25	24.28982458
26	24.22152736
27	24.16150611
28	24.10886329
29	24.0689948
30	23.99446523
31	23.94157643
32	23.87948211
33	23.79743887
34	23.70651561
35	23.65295986
36	23.58718133
37	23.55234862
38	23.49641929
39	23.44128599
40	23.38242726
41	23.34582765
42	23.28729199
43	23.2365769
44	23.18713499
45	23.15623086
46	23.12189283
47	23.07639174
48	23.04065953
49	23.00646745
